97,25,22.46,
251,26,21.97,
232,26,21.97,
210,26,21.97,
198,26,21.97,
212,26,21.97,
230,26,21.97,
306,26,21.48,
191,25,22.46,
203,26,21.97,
230,25,21.97,
208,25,21.97,
126,26,21.97,
36,25,22.46,
192,25,21.97,
231,25,21.97,
224,25,22.46,
543,25,17.09,
236,25,21.97,
278,25,21.48,
209,24,21.97,
231,24,21.97,
275,24,21.97,
241,24,21.97,
233,24,21.97,
754,24,19.53,
216,24,22.46,
220,24,21.97,
216,24,21.97,
223,24,21.97,
226,24,21.97,
236,23,21.97,
238,23,21.48,
275,23,21.00,
724,23,19.04,
236,23,21.48,
248,24,21.48,
239,24,21.48,
71,24,21.97,
355,24,19.53,
329,24,20.51,
432,24,17.58,
350,24,19.53,
284,24,21.00,
520,24,17.09,
298,24,21.00,
266,24,21.48,
305,24,21.00,
253,24,21.48,
268,24,21.48,
255,23,21.97,
252,23,21.97,
