228,28,21.48,
171,28,21.48,
743,30,19.53,
193,29,21.48,
214,29,21.48,
220,28,21.48,
231,28,21.48,
197,29,21.48,
242,29,21.00,
241,29,21.48,
240,29,21.48,
237,29,21.48,
241,29,21.48,
240,29,21.48,
325,29,20.51,
231,29,21.48,
238,29,21.00,
236,29,21.48,
205,29,21.48,
241,29,21.48,
284,29,20.51,
3,29,21.48,
512,29,16.60,
740,29,19.04,
741,29,19.53,
0,32,21.97,
182,30,21.97,
243,29,21.48,
249,28,21.48,
746,28,19.04,
261,28,21.48,
238,28,21.48,
220,28,21.48,
234,28,21.48,
0,28,21.97,
239,28,21.48,
235,28,21.48,
225,28,21.48,
239,28,21.48,
300,28,20.51,
250,28,21.48,
238,28,21.48,
237,28,21.48,
351,28,19.53,
232,27,21.48,
238,27,21.48,
235,28,21.48,
255,27,21.48,
237,27,21.48,
236,27,20.51,
